Velocity  Position    Throttle
0.000000    0.000000  0.500000
0.235285    0.023528  0.500000
0.705850    0.164698  0.500000
1.411636    0.588189  0.500000
2.352410    1.529153  0.500000
3.527564    3.292935  0.500000
4.935844    6.254442  0.500000
6.575005    10.856946  0.500000
8.441398    17.610064  0.500000
10.529502    27.086616  0.500000
12.831421    39.918037  0.500000
15.336359    56.788032  0.500000
18.030123    78.424180  0.500000
20.894691    105.587278  0.500000
23.907900    139.058338  0.500000
27.043315    179.623311  0.500000
30.270340    228.055855  0.500000
33.554617    285.098704  0.500000
36.858758    351.444468  0.500000
40.143398    427.716924  0.500000
43.368539    514.454003  0.500000
46.495111    612.093735  0.500000
49.486616    720.964290  0.500000
52.310728    841.278966  0.500000
54.940674    973.136583  0.500000
57.356266    1116.527246  0.500000
59.544491    1271.342922  0.500000
61.499600    1437.391842  0.500000
63.222724    1614.415469  0.500000
64.721085    1802.106615  0.500000
66.006919    2000.127371  0.500000
67.096236    2208.125703  0.500000
68.007556    2425.749881  0.500000
68.760707    2652.660216  0.500000
69.375797    2888.537927  0.500000
69.872368    3133.091217  0.500000
70.268776    3386.058810  0.500000
70.581772    3647.211366  0.500000
70.826270    3916.351193  0.500000
71.015261    4193.310712  0.500000
71.159841    4477.950075  0.500000
71.269320    4770.154285  0.500000
71.351384    5069.830097  0.500000
71.412283    5376.902913  0.500000
71.457025    5691.313823  0.500000
71.489570    6013.016888  0.500000
71.513008    6341.976723  0.500000
71.529718    6678.166398  0.500000
71.541514    7021.565664  0.500000
71.549756    7372.159470  0.500000
71.555458    7729.936760  0.500000
71.559362    8094.889508  0.500000
71.562008    8467.011951  0.500000
71.563783    8846.300002  0.500000
71.564961    9232.750793  0.500000
71.565735    9626.362338  0.500000
71.566238    10027.133273  0.500000
71.566562    10435.062676  0.500000
71.566768    10850.149929  0.500000
71.566897    11272.394622  0.500000
71.566978    11701.796490  0.500000
71.567027    12138.355357  0.500000
71.567058    12582.071115  0.500000
71.567076    13032.943693  0.500000
71.567087    13490.973048  0.500000
71.567093    13956.159153  0.500000
71.567097    14428.501992  0.500000
71.567099    14908.001554  0.500000
71.567100    15394.657835  0.500000
71.567101    15888.470830  0.500000
71.567101    16389.440538  0.500000
71.567101    16897.566958  0.500000
71.567101    17412.850089  0.500000
71.567102    17935.289930  0.500000
71.567102    18464.886481  0.500000
71.567102    19001.639743  0.500000
71.567102    19545.549715  0.500000
71.567102    20096.616397  0.500000
71.567102    20654.839790  0.500000
71.567102    21220.219892  0.500000
71.567102    21792.756705  0.500000
71.567102    22372.450228  0.500000
71.567102    22959.300461  0.500000
71.567102    23553.307404  0.500000
71.567102    24154.471058  0.500000
71.567102    24762.791421  0.500000
71.567102    25378.268495  0.500000
71.567102    26000.902279  0.500000
71.567102    26630.692773  0.500000
71.567102    27267.639977  0.500000
71.567102    27911.743891  0.500000
71.567102    28563.004516  0.500000
71.567102    29221.421850  0.500000
71.567102    29886.995895  0.500000
71.567102    30559.726650  0.500000
71.567102    31239.614115  0.500000
71.567102    31926.658291  0.500000
71.567102    32620.859176  0.500000
71.567102    33322.216772  0.500000
71.567102    34030.731077  0.500000
71.567102    34030.731077  0.000000
71.317102    34037.862788  0.000000
70.820383    34052.026864  0.000000
70.085036    34073.052375  0.000000
69.123612    34100.701820  0.000000
67.952573    34134.678107  0.000000
66.591570    34174.633049  0.000000
65.062617    34220.176880  0.000000
63.389216    34270.888253  0.000000
61.595509    34326.324212  0.000000
59.705487    34386.029699  0.000000
57.742312    34449.546242  0.000000
55.727768    34516.419564  0.000000
53.681857    34586.205978  0.000000
51.622527    34658.477516  0.000000
49.565529    34732.825809  0.000000
47.524384    34808.864824  0.000000
45.510429    34886.232553  0.000000
43.532936    34964.591838  0.000000
41.599270    35043.630450  0.000000
39.715073    35123.060597  0.000000
37.884469    35202.617982  0.000000
36.110257    35282.060547  0.000000
34.394106    35361.166991  0.000000
32.736739    35439.735164  0.000000
31.138090    35517.580390  0.000000
29.597457    35594.533778  0.000000
28.113627    35670.440570  0.000000
26.684985    35745.158529  0.000000
25.309615    35818.556412  0.000000
23.985370    35890.512523  0.000000
22.709945    35960.913352  0.000000
21.480925    36029.652311  0.000000
20.295830    36096.628551  0.000000
19.152152    36161.745867  0.000000
18.047373    36224.911673  0.000000
16.978994    36286.036051  0.000000
15.944542    36345.030858  0.000000
14.941585    36401.808881  0.000000
13.967732    36456.283035  0.000000
13.020640    36508.365595  0.000000
12.098013    36557.967447  0.000000
11.197596    36604.997348  0.000000
10.317174    36649.361195  0.000000
9.454564    36690.961275  0.000000
8.607605    36729.695498  0.000000
7.774152    36765.456597  0.000000
6.952059    36798.131272  0.000000
6.139169    36827.599281  0.000000
5.333297    36853.732437  0.000000
4.532215    36876.393510  0.000000
3.733626    36895.435002  0.000000
2.935147    36910.697766  0.000000
2.134277    36922.009433  0.000000
1.328367    36929.182615  0.000000
0.514584    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
0.000000    36932.012827  0.000000
